Day,Date,PlantID,plantheightcm,OLlength(cm),OLwidth(cm),MRFLlength(cm),MRFLwidth(cm),numberofleaves,RGR_plantheightcm,RGR_OLlength(cm),RGR_OLwidth(cm),RGR_MRFLlength(cm),RGR_MRFLwidth(cm),RGR_numberofleaves
9,3-Feb,57,4.9,5.8,4.5,2.8,2.8,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,57,5.5,6.4,5.1,3.8,4.6,2,0.7,-0.3,-0.15,-2.35,-2.05,1.5
7,1-Feb,58,5,5,3.1,5,3.1,1,0,0,0,0,0,0
9,3-Feb,58,5.9,6.2,4.3,6.2,4.3,1,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,58,7.4,7.1,5.1,4.7,3.6,2,1.76,0.46,0.12,1.48,1.02,0.6
2,27-Jan,59,0.4,5.1,2.6,5.1,2.6,2,0,0,0,0,0,0
7,1-Feb,59,0.8,6.6,3.7,4.9,2.3,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,59,2.1,7.5,3.8,5.2,2.1,4,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,59,3.3,7.9,3.4,3.7,2.2,5,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,60,0.2,4.7,2.4,4.7,2.4,2,0,0,0,0,0,0
7,1-Feb,60,0.8,8,3.7,5.5,2.5,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,60,3.1,8.1,3.9,6.4,3.2,5,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,60,3.2,9.3,4.2,3.8,2.1,7,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,61,0.3,4.1,2.7,4.1,2.7,2,0,0,0,0,0,0
7,1-Feb,61,1.2,7.2,5,4.8,3.6,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,61,2.2,7.3,5.4,6,4.2,4,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,61,2.4,8.1,5.7,4.6,2.5,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,62,0.8,4.8,2.8,4.8,2.8,2,0,0,0,0,0,0
7,1-Feb,62,1.6,5.7,2.9,4.8,2.7,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,62,1.2,5.6,2.7,5,2.7,4,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,62,1.8,5.8,3,3.4,2.3,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
7,1-Feb,63,0.7,3.1,2.4,3.1,2.4,2,0,0,0,0,0,0
9,3-Feb,63,1.4,3.6,2.3,2.1,1.2,4,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,63,1.8,4.1,2.7,2,1.3,6,1.76,0.46,0.12,1.48,1.02,0.6
2,27-Jan,64,0.4,1.6,0.6,1.6,0.6,2,0,0,0,0,0,0
7,1-Feb,64,1.6,5,2.2,3.4,1.6,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,64,2.3,5.6,2.8,3.5,1.9,4,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,64,2.1,6.2,3,3.6,1.8,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
9,3-Feb,65,4.3,3.5,2.5,3.5,2.5,1,0,0,0,0,0,0
14,8-Feb,65,5.3,5,4,2.3,1.8,2,0.05,0.7,0.3,0.4,0.4,0
23,17-Feb,65,9.5,2.4,4.8,4.4,3.8,5,1.76,0.46,0.12,1.48,1.02,0.6
7,1-Feb,66,3.6,5.5,4.3,5.5,4.3,1,0,0,0,0,0,0
9,3-Feb,66,5.4,6.6,5.4,3,2.2,2,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,66,8.2,8,6.5,8,6.5,2,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,67,4.7,3,3.1,3,3.1,2,0,0,0,0,0,0
14,8-Feb,67,8.2,4.1,4.4,3.2,2.6,3,0.05,0.7,0.3,0.4,0.4,0
21,15-Feb,67,10.2,6.4,4.8,4.5,5.8,5,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,68,5,3.6,3.9,3.6,3.9,2,0,0,0,0,0,0
14,8-Feb,68,11.4,4.7,5.5,4.4,3.3,3,0.05,0.7,0.3,0.4,0.4,0
23,17-Feb,68,14.5,4.1,5.6,8.1,5.3,5,1.76,0.46,0.12,1.48,1.02,0.6
2,27-Jan,69,0.2,4.5,1,4.5,1,2,0,0,0,0,0,0
7,1-Feb,69,1.4,7.7,3,5.5,2.2,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,69,2.8,7.4,3,6.2,2.9,5,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,69,3.1,8.3,3.1,6.3,2.4,10,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,69,9.6,6.7,2.8,5.4,2.1,19,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,70,0.3,3.3,1.5,3.3,1.5,2,0,0,0,0,0,0
7,1-Feb,70,1.5,6,2.4,4.1,1.6,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,70,2.7,5.5,2.3,4.2,1.7,4,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,70,2.1,5.5,2.5,4.3,1.8,9,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,70,10.1,5.5,2.3,6.2,3.9,15,2.5,0.16,0.04,0.36,0.4,0.4
7,1-Feb,71,0.9,3,2,3,2,1,0,0,0,0,0,0
